Produit;Type of Food (100g);Energy (Kcal);Protein (g);Fat (g);Water (g);Vitamin A (mg);Vitamin B1 (mg);Vitamin B2 (mg);Vitamin C;
P424;Sweetbread, raw;130;15;8;76;0;0,03;0,3;20;
P425;Sweetcorn, canned;80;3;0,5;73;40;0,05;0,08;5;
P426;Sweetcorn, kernels only;125;4;2;65;40;0,2;0,1;10;
P427;Sweets, boiled;330;0;0;0;0;0;0;0;
P428;Tangerines, peeled;30;1;0;86;15;0,07;0;30;
P429;Tapioca, raw;360;0,4;0,1;10;0;0;0;0;
P430;Toffees;430;2;17;5;0;0;0;0;
P431;Tomato juice;15;0;0;93;80;0,06;0,03;20;
P432;Tomato ketchup;100;2;0;65;0;0;0;0;
P433;Tomatoes, canned;12;1;0;94;15;0,1;0,03;20;
P434;Tomatoes, fried;70;1;6;87;15;0,1;0,04;10;
P435;Tomatoes, raw;15;1;0;93;15;0,1;0,05;20;
P436;Tongue, canned;200;16;17;64;0;0,04;0,4;0;
P437;Tongue, pickled, boiled;290;20;24;49;0;0,06;0,3;0;
P438;Treacle tart;370;4;14;21;70;0,1;0;0;
P439;Treacle, black;260;1;0;29;0;0;0;0;
P440;Tripe, stewed;100;15;5;79;0;0;0,08;0;
P441;Trout, steamed;140;24;4,5;71;0;0;0;0;
P442;Tumips, raw;20;0,8;0;93;0;0,04;0,05;25;
P443;Tuna, canned in oil;290;23;22;55;0;0,04;0,1;0;
P444;Turkey, raw (boned);100;22;2;75;0;0,1;0,15;0;
P445;Turkey, raw (meat and skin);145;21;7;72;0;0,1;0,1;0;
P446;Turkey, roast (meat and skin);170;28;6,5;65;0;0,1;0,2;0;
P447;Turkey, roast, boned;140;29;3;68;0;0,1;0,2;0;
P448;Turnips, boiled;14;0,7;0;95;0;0,03;0,04;20;
P449;Veal cutlet, fried in breadcrumbs;220;31;8;55;0;0,1;0,2;0;
P450;Veal fillet, raw;100;21;3;75;0;0,1;0,25;0;
P451;Veal fillet, roast;230;32;12;55;0;0,06;0,3;0;
P452;Veal, jellied, canned;130;25;3;69;0;0,05;0,3;0;
P453;Venison, roast;200;35;6;57;0;0;0;0;
P454;Walnuts;530;11;52;23;0;0,3;0,15;0;
P455;Watercress;14;3;0;91;500;0,1;0,1;60;
P456;Watermelons;20;0,5;0;95;0;0;0;5;
